,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-01-04,-0.3895084178570789,-0.39437104012840546,-0.3832826087424872,-0.3858948994880083,-1.3943151973187036,-0.5851610834925383,-0.08243182605313289,-0.021025856676557972
2010-01-05,-0.3827992542526262,-0.38817514265925196,-0.37823983802599764,-0.38377132780750034,-1.3933427915617758,-0.3796619492888404,-0.08243182605313289,-0.021025856676557972
2010-01-06,-0.38406080638337803,-0.3902214941169541,-0.3927305584756803,-0.40334262356569517,-1.4022993805013901,-0.474161551148935,-0.08243182605313289,-0.021025856676557972
2010-01-07,-0.39914208867372913,-0.4085818141402254,-0.4025842483814644,-0.40558098290460887,-1.4033240661377222,-0.6166928655383922,-0.08243182605313289,-0.021025856676557972
2010-01-08,-0.4074568640809569,-0.4085818141402254,-0.40252628549966574,-0.39754584681620053,-1.3996477450179834,-0.6727724165015228,-0.08243182605313289,-0.021025856676557972
2010-01-11,-0.3931210444133227,-0.4028975045354974,-0.4060620212893884,-0.40827849287714596,-1.4045599624868494,-0.6450012569095182,-0.08243182605313289,-0.021025856676557972
2010-01-12,-0.41382196801338655,-0.42125782455876865,-0.41782848629453073,-0.4219956180566433,-1.4108377304057667,-0.39380550672135145,-0.08243182605313289,-0.021025856676557972
2010-01-13,-0.42139128079789734,-0.41466402541728425,-0.43127587487183616,-0.40517922610018847,-1.403140040962218,-0.37208751311588223,-0.08243182605313289,-0.021025856676557972
2010-01-14,-0.40854638637569707,-0.4173356509315064,-0.40275813702686064,-0.4121812732629444,-1.4063458431673144,-0.7007297455219357,-0.08243182605313289,-0.021025856676557972
2010-01-15,-0.4038442375247131,-0.4108555379821166,-0.4210164447934608,-0.4322691134839655,-1.4155408283570137,-0.39455018443498496,-0.08243182605313289,-0.021025856676557972
2010-01-19,-0.4187534899790526,-0.3904488665011432,-0.4130755299870347,-0.3799833350801078,-1.391609190760716,-0.13630659159992958,-0.08243182605313289,-0.021025856676557972
2010-01-20,-0.38102161261383954,-0.38840251504344103,-0.3999759187005216,-0.39900938946087494,-1.4003169274743636,-0.3601939462038496,-0.08243182605313289,-0.021025856676557972
2010-01-21,-0.39724976047760135,-0.4011137681815338,-0.41324941863243086,-0.4199753552687006,-1.4099134221378913,-0.3677896588829116,-0.08243182605313289,-0.021025856676557972
2010-01-22,-0.42764169817298586,-0.43416120736150116,-0.4715021148401552,-0.47921726577195206,-1.437029949987524,0.15199006610676458,-0.08243182605313289,-0.021025856676557972
2010-01-25,-0.45212727816530507,-0.45007727425473953,-0.4539393616551398,-0.4486550517213986,-1.423039854258825,0.5014034875966675,-0.08243182605313289,-0.021025856676557972
2010-01-26,-0.43240119030264046,-0.3988616447161405,-0.4400862329052431,-0.4322117196547626,-1.4155136428197237,2.0238332436021027,-0.08243182605313289,-0.021025856676557972
2010-01-27,-0.4272402952222921,-0.416653533778939,-0.4577591155656761,-0.42105435925771556,-1.4104069441994718,1.7492492940793174,-0.08243182605313289,-0.021025856676557972
2010-01-28,-0.43825020472703513,-0.4455298265709571,-0.46257583104315075,-0.4703786160747028,-1.4329834873215999,0.7061951779724135,-0.08243182605313289,-0.021025856676557972
2010-01-29,-0.4603273670151917,-0.4642880482665594,-0.5115544661630781,-0.5118571364396513,-1.4519694483262127,0.8438275768314673,-0.08243182605313289,-0.021025856676557972
2010-02-01,-0.5102733627372292,-0.4995307678158727,-0.5054683635742113,-0.4965502021912332,-1.4449618532908062,-0.09856206977176166,-0.08243182605313289,-0.021025856676557972
2010-02-02,-0.48997384208785927,-0.4977117887423598,-0.49341208416007537,-0.4900646994913034,-1.441994447335795,-0.19646059348194075,-0.08243182605313289,-0.021025856676557972
2010-02-03,-0.49421724470947903,-0.4756566674760153,-0.4873839444530075,-0.47072297904992033,-1.433140326959814,-0.35416205672341805,-0.08243182605313289,-0.021025856676557972
2010-02-04,-0.4852716932368753,-0.4860589540526674,-0.5039033657656456,-0.5119317484176149,-1.452002907449032,-0.08379085540918804,-0.08243182605313289,-0.021025856676557972
2010-02-05,-0.5088111091311306,-0.4995307678158727,-0.5080766932551543,-0.4923604526594201,-1.4430442273142414,0.09222436046114806,-0.08243182605313289,-0.021025856676557972
2010-02-08,-0.49123539421861107,-0.48884426575898415,-0.48981838548855405,-0.5000512257726111,-1.4465657999909425,-0.614527981042329,-0.08243182605313289,-0.021025856676557972
2010-02-09,-0.48704933487566193,-0.49100430340878076,-0.48547116935364926,-0.4881707031276072,-1.4411266013376767,-0.32080581427916194,-0.08243182605313289,-0.021025856676557972
2010-02-10,-0.4900885286452004,-0.49612018205303593,-0.48831135056178715,-0.4943348003840004,-1.4439476236303548,-0.8195217982260612,-0.08243182605313289,-0.021025856676557972
2010-02-11,-0.49588019979092457,-0.4782146067981428,-0.48947060819776167,-0.4739370334852837,-1.4346125283638504,-0.4776083451377531,-0.08243182605313289,-0.021025856676557972
2010-02-12,-0.47735832078034107,-0.4674712616452071,-0.48112395321874446,-0.4641226886915848,-1.4301206411253984,-0.27790705884734485,-0.08243182605313289,-0.021025856676557972
2010-02-16,-0.4553958450495256,-0.4558184269555147,-0.4462302983759086,-0.44678975227230366,-1.4221866466269402,-0.4901614837390039,-0.08243182605313289,-0.021025856676557972
2010-02-17,-0.4424936073486549,-0.45229415500058334,-0.4500558485746248,-0.4516682277545516,-1.4244200430751088,-0.6940755182379675,-0.08243182605313289,-0.021025856676557972
2010-02-18,-0.45717348668831226,-0.4546815650345692,-0.44970807128383256,-0.4494987410106814,-1.42342672536642,-0.7198573245092654,-0.08243182605313289,-0.021025856676557972
2010-02-19,-0.45585459127888983,-0.45860373866183146,-0.4486067765296565,-0.45671888472440847,-1.426730813744797,-0.733830669892946,-0.08243182605313289,-0.021025856676557972
2010-02-22,-0.4531021139027041,-0.46258275538514093,-0.45973564983501286,-0.46391607090645426,-1.4300265373424697,-0.7811443003413048,-0.08243182605313289,-0.021025856676557972
2010-02-23,-0.46652044111160973,-0.4692333976226726,-0.47990673270097106,-0.48318317936987365,-1.4388451074004553,-0.4305925857748477,-0.08243182605313289,-0.021025856676557972
2010-02-24,-0.4766702014362948,-0.4686081235661526,-0.4675606388778415,-0.4625386190055842,-1.429394996399261,-0.6481608180659346,-0.08243182605313289,-0.021025856676557972
2010-02-25,-0.48154438012329037,-0.46053640392743883,-0.473067112648721,-0.4548248883607121,-1.4258650589418551,-0.25956139145933027,-0.08243182605313289,-0.021025856676557972
2010-02-26,-0.45287274078802203,-0.44740564874051736,-0.4434480800495696,-0.43978770510954773,-1.4189808444218435,-0.5590760870092609,-0.08243182605313289,-0.021025856676557972
2010-03-01,-0.43354805587605116,-0.42279258815204523,-0.4234508858290076,-0.41470660174787277,-1.4075022740997463,-0.47808706652508887,-0.08243182605313289,-0.021025856676557972
2010-03-02,-0.4095785653917668,-0.415232456377757,-0.4101773858970981,-0.41551011535671367,-1.4078703244507553,-0.44683187905858457,-0.08243182605313289,-0.021025856676557972
2010-03-03,-0.41525554998014996,-0.4206893935982959,-0.4090181282611236,-0.4127552115549735,-1.406609333759514,-0.8163090458043851,-0.08243182605313289,-0.021025856676557972
2010-03-04,-0.41330587850535166,-0.4147208685133316,-0.4050186894170112,-0.40483486312497097,-1.4029832013240036,-0.8277292104556079,-0.08243182605313289,-0.021025856676557972
2010-03-05,-0.38084958277782793,-0.36481263018382015,-0.3702409603377728,-0.3575423478617671,-1.3813372400552792,0.1859048168362458,-0.08243182605313289,-0.021025856676557972
2010-03-08,-0.35177654049186585,-0.3625957494379762,-0.3492583971266323,-0.356796228082129,-1.3809963752415606,-0.7064371682842842,-0.08243182605313289,-0.021025856676557972
2010-03-09,-0.36152489786585706,-0.3346857892787619,-0.35134506087138667,-0.33418305937617954,-1.370644959119429,0.22511209845905103,-0.08243182605313289,-0.021025856676557972
2010-03-10,-0.32987427520365437,-0.33195732066849254,-0.3205667706362607,-0.3237373824612486,-1.3658644869466627,-0.3904650952630525,-0.08243182605313289,-0.021025856676557972
2010-03-11,-0.3294126618103565,-0.3318436344763979,-0.31987121605467594,-0.31994938973385606,-1.3641308861456025,-0.7523891023419987,-0.08243182605313289,-0.021025856676557972
2010-03-12,-0.3095718873903508,-0.31916762405785465,-0.30578623577758435,-0.3136360685215352,-1.3612408544121104,-0.7322083363025301,-0.08243182605313289,-0.021025856676557972
2010-03-15,-0.32098319984578766,-0.3318436344763979,-0.33766582076688617,-0.32947676538154036,-1.368491028087955,-0.5855919327411405,-0.08243182605313289,-0.021025856676557972
2010-03-16,-0.327864393286252,-0.33479947547085653,-0.3245662094803731,-0.3259757418001625,-1.3668891725829948,-0.6741075172595371,-0.08243182605313289,-0.021025856676557972
2010-03-17,-0.32373567722197333,-0.3264435403519064,-0.3201610304636695,-0.32786973816385867,-1.3677549273859366,-0.6664160603030079,-0.08243182605313289,-0.021025856676557972
2010-03-18,-0.32832313951561637,-0.3346857892787619,-0.32398658066238567,-0.324827865216104,-1.3663621913985955,-0.8731917848729347,-0.08243182605313289,-0.021025856676557972
