,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-01-04,136.2500,136.6100,133.1400,133.9000,133.9000,7599900,0.0000,1.0000
2010-01-05,133.4300,135.4790,131.8100,134.6900,134.6900,8851900,0.0000,1.0000
2010-01-06,134.6000,134.7300,131.6500,132.2500,132.2500,7178800,0.0000,1.0000
2010-01-07,132.0100,132.3200,128.8000,130.0000,130.0000,11030200,0.0000,1.0000
2010-01-08,130.5600,133.6800,129.0300,133.5200,133.5200,9830500,0.0000,1.0000
2010-01-11,132.6200,132.8000,129.2100,130.3080,130.3080,8779400,0.0000,1.0000
2010-01-12,128.9900,129.8200,126.5500,127.3500,127.3500,9096300,0.0000,1.0000
2010-01-13,127.9021,129.7100,125.7500,129.1100,129.1100,10723200,0.0000,1.0000
2010-01-14,129.1400,130.3800,126.4000,127.3500,127.3500,9774900,0.0000,1.0000
2010-01-15,129.1800,129.6500,127.0600,127.1400,127.1400,15376500,0.0000,1.0000
2010-01-19,126.2000,128.0000,124.3300,127.6100,127.6100,8892600,0.0000,1.0000
2010-01-20,127.1300,129.2000,125.0800,125.7800,125.7800,9074700,0.0000,1.0000
2010-01-21,127.2600,128.1500,125.0000,126.6200,126.6200,9970600,0.0000,1.0000
2010-01-22,125.6000,127.6700,120.7600,121.4300,121.4300,11568900,0.0000,1.0000
2010-01-25,122.1000,122.2800,118.1200,120.3100,120.3100,12023900,0.0000,1.0000
2010-01-26,120.5600,122.9800,119.0610,119.4800,119.4800,9559000,0.0000,1.0000
2010-01-27,121.0300,123.3300,118.8000,122.7500,122.7500,14765300,0.0000,1.0000
2010-01-28,124.4300,127.2000,122.8000,126.0300,126.0300,27293100,0.0000,1.0000
2010-01-29,129.7700,131.8499,124.1400,125.4100,125.4100,29471300,0.0000,1.0000
2010-02-01,123.1800,124.8600,113.8200,118.8700,118.8700,37774400,0.0000,1.0000
2010-02-02,118.7900,118.9800,114.4000,118.1200,118.1200,23079700,0.0000,1.0000
2010-02-03,117.1200,119.6100,116.5600,119.1000,119.1000,12405900,0.0000,1.0000
2010-02-04,118.6400,120.3300,115.7400,115.9400,115.9400,12784000,0.0000,1.0000
2010-02-05,115.8800,117.6500,114.1000,117.3900,117.3900,11024800,0.0000,1.0000
2010-02-08,119.3750,121.0000,116.5600,116.8300,116.8300,9890200,0.0000,1.0000
2010-02-09,118.2000,119.0900,117.0000,118.0300,118.0300,9223000,0.0000,1.0000
2010-02-10,118.0000,118.6100,116.0000,117.3600,117.3600,6233200,0.0000,1.0000
2010-02-11,117.2100,120.4201,116.5000,120.0900,120.0900,8343500,0.0000,1.0000
2010-02-12,118.9900,119.9400,117.5000,119.6600,119.6600,8073500,0.0000,1.0000
2010-02-16,120.0600,120.5000,117.1800,117.5300,117.5300,8932700,0.0000,1.0000
2010-02-17,117.0750,117.1300,115.5500,116.3100,116.3100,8944800,0.0000,1.0000
2010-02-18,115.8386,118.5100,114.8200,118.0800,118.0800,9800100,0.0000,1.0000
2010-02-19,117.9100,119.0900,117.0000,117.5200,117.5200,7115600,0.0000,1.0000
2010-02-22,117.3700,118.9700,116.1800,118.0100,118.0100,6807300,0.0000,1.0000
2010-02-23,118.0100,119.2500,116.5100,117.2400,117.2400,7068200,0.0000,1.0000
2010-02-24,117.9600,119.8000,117.1500,119.7200,119.7200,7389900,0.0000,1.0000
2010-02-25,118.1700,118.3400,115.8500,118.2000,118.2000,9533400,0.0000,1.0000
2010-02-26,117.8800,119.4300,117.0000,118.4000,118.4000,5721600,0.0000,1.0000
2010-03-01,118.8500,124.6600,117.5300,124.5400,124.5400,13296500,0.0000,1.0000
2010-03-02,125.0100,127.3500,124.8000,125.5300,125.5300,12097500,0.0000,1.0000
2010-03-03,125.4000,126.9400,124.4300,125.8900,125.8900,6440400,0.0000,1.0000
2010-03-04,125.9600,128.8500,125.5700,128.5300,128.5300,7509700,0.0000,1.0000
2010-03-05,129.1300,129.4500,127.0700,128.9100,128.9100,6769300,0.0000,1.0000
2010-03-08,128.3000,130.8500,127.7100,130.1100,130.1100,5605900,0.0000,1.0000
2010-03-09,129.5900,130.8100,127.9700,128.8200,128.8200,6070800,0.0000,1.0000
2010-03-10,129.1100,131.1700,128.4800,130.5100,130.5100,5625700,0.0000,1.0000
2010-03-11,130.4500,133.6200,130.3600,133.5800,133.5800,7240800,0.0000,1.0000
2010-03-12,134.2000,134.2000,131.1800,131.8200,131.8200,6150800,0.0000,1.0000
2010-03-15,131.7000,132.0000,128.6300,131.1300,131.1300,6329200,0.0000,1.0000
2010-03-16,131.2400,132.2900,130.5000,131.7900,131.7900,4132500,0.0000,1.0000
2010-03-17,132.4100,132.6940,131.2200,131.3400,131.3400,4358800,0.0000,1.0000
2010-03-18,131.0200,132.8500,130.4400,132.7600,132.7600,5021300,0.0000,1.0000
2010-03-19,133.7100,133.7100,129.6600,130.3500,130.3500,8905000,0.0000,1.0000
2010-03-22,130.2000,130.9600,128.6400,130.4700,130.4700,5383400,0.0000,1.0000
2010-03-23,130.8900,130.9400,128.0700,129.2600,129.2600,4213100,0.0000,1.0000
2010-03-24,128.6400,129.4000,127.2000,128.0400,128.0400,4696400,0.0000,1.0000
2010-03-25,129.6101,136.9100,128.0400,134.7300,134.7300,16209600,0.0000,1.0000
2010-03-26,134.8950,136.9900,133.7600,135.0600,135.0600,6565700,0.0000,1.0000
2010-03-29,135.3700,136.6300,134.3300,135.1200,135.1200,4626900,0.0000,1.0000
2010-03-30,135.7400,138.1900,135.3600,136.5790,136.5790,6192700,0.0000,1.0000
2010-03-31,136.0000,136.8000,134.4800,135.7700,135.7700,4600600,0.0000,1.0000
2010-04-01,135.8000,136.5100,131.1800,131.8100,131.8100,8785800,0.0000,1.0000
2010-04-05,132.8500,133.7400,130.7800,131.4900,131.4900,5816500,0.0000,1.0000
2010-04-06,131.2300,136.0000,131.1800,135.5600,135.5600,7950300,0.0000,1.0000
2010-04-07,135.9600,136.0800,133.8600,134.8700,134.8700,5945400,0.0000,1.0000
2010-04-08,134.7100,141.2500,134.7100,140.9600,140.9600,12689100,0.0000,1.0000
2010-04-09,140.7200,141.3300,139.0700,140.0600,140.0600,6011100,0.0000,1.0000
2010-04-12,140.0000,142.9150,139.6800,141.2000,141.2000,5445300,0.0000,1.0000
2010-04-13,141.2300,141.9800,139.1200,140.1600,140.1600,4785500,0.0000,1.0000
2010-04-14,140.3400,144.5000,139.2000,144.2800,144.2800,7900300,0.0000,1.0000
2010-04-15,144.5500,147.0900,144.0000,145.8200,145.8200,7829600,0.0000,1.0000
2010-04-16,144.8800,147.1700,141.4500,142.1710,142.1710,8396800,0.0000,1.0000
2010-04-19,142.3500,143.6700,139.1300,142.4300,142.4300,6022000,0.0000,1.0000
2010-04-20,143.8300,144.6400,142.1000,144.2000,144.2000,4311700,0.0000,1.0000
2010-04-21,145.1700,149.0000,143.5219,146.4300,146.4300,7374400,0.0000,1.0000
2010-04-22,147.0100,151.0900,145.8800,150.0900,150.0900,15165800,0.0000,1.0000
2010-04-23,145.3800,149.0900,142.4200,143.6300,143.6300,18975200,0.0000,1.0000
2010-04-26,143.2000,147.7300,142.9000,147.1100,147.1100,9318300,0.0000,1.0000
2010-04-27,145.5500,146.4400,141.1100,142.0200,142.0200,8639000,0.0000,1.0000
2010-04-28,142.5900,142.7500,138.6900,139.3500,139.3500,9235300,0.0000,1.0000
2010-04-29,140.0900,142.4500,139.7900,141.7300,141.7300,6314200,0.0000,1.0000
2010-04-30,141.4000,141.4000,136.9100,137.1000,137.1000,6113500,0.0000,1.0000
2010-05-03,137.2000,139.4400,136.1100,137.4900,137.4900,5654600,0.0000,1.0000
2010-05-04,135.6225,135.8100,128.3800,129.8300,129.8300,12667800,0.0000,1.0000
2010-05-05,128.0000,131.6100,127.5500,130.9300,130.9300,9458100,0.0000,1.0000
2010-05-06,130.0000,132.3300,120.6000,128.7100,128.7100,10189000,0.0000,1.0000
2010-05-07,127.9700,131.1800,123.7600,124.9800,124.9800,11927600,0.0000,1.0000
2010-05-10,129.7300,132.2100,129.2600,131.2900,131.2900,6806100,0.0000,1.0000
2010-05-11,129.9500,133.0800,128.4700,130.4600,130.4600,6044100,0.0000,1.0000
2010-05-12,131.4100,134.1300,129.6800,133.8700,133.8700,5904500,0.0000,1.0000
2010-05-13,133.9300,136.9900,131.0000,131.4700,131.4700,5940200,0.0000,1.0000
2010-05-14,130.3600,131.0000,126.7600,128.5330,128.5330,5277800,0.0000,1.0000
2010-05-17,128.2400,129.9500,125.8000,128.9100,128.9100,5642200,0.0000,1.0000
2010-05-18,130.1400,131.2500,125.5100,126.2800,126.2800,5256900,0.0000,1.0000
2010-05-19,125.5100,127.9300,123.8000,124.5900,124.5900,6463300,0.0000,1.0000
2010-05-20,122.6400,125.0000,118.7800,119.7100,119.7100,8594400,0.0000,1.0000
2010-05-21,117.8950,124.9700,117.5200,122.7200,122.7200,7966900,0.0000,1.0000
2010-05-24,122.5700,124.5000,120.6500,122.1200,122.1200,4535900,0.0000,1.0000
2010-05-25,118.5400,125.1900,118.5000,124.8600,124.8600,6913400,0.0000,1.0000
2010-05-26,125.0500,125.7900,122.3000,123.2100,123.2100,6964600,0.0000,1.0000
2010-05-27,124.9800,126.8500,120.6000,126.7000,126.7000,4747700,0.0000,1.0000
2010-05-28,126.0700,127.6000,124.0100,125.4600,125.4600,3954800,0.0000,1.0000
2010-06-01,124.9700,126.5720,123.0200,123.2400,123.2400,3659500,0.0000,1.0000
2010-06-02,124.0200,126.4300,121.6500,126.3100,126.3100,4764700,0.0000,1.0000
2010-06-03,126.2500,129.1500,124.8500,128.7600,128.7600,5276900,0.0000,1.0000
2010-06-04,126.3300,128.2000,122.1800,122.7700,122.7700,5497700,0.0000,1.0000
2010-06-07,125.8400,126.6060,121.6744,122.0100,122.0100,6566400,0.0000,1.0000
2010-06-08,122.0000,122.0000,115.8000,118.8350,118.8350,11484400,0.0000,1.0000
2010-06-09,120.3100,121.4700,117.3600,117.9100,117.9100,7369200,0.0000,1.0000
2010-06-10,120.0000,123.5000,119.2000,123.2100,123.2100,6061800,0.0000,1.0000
2010-06-11,121.3900,123.5300,120.2900,123.0300,123.0300,4204600,0.0000,1.0000
2010-06-14,124.2400,125.7000,123.5000,123.8300,123.8300,3923000,0.0000,1.0000
