,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2010-01-04,626.9500,629.5100,624.2400,626.7500,314.3454,3908400,0.0000,1.0000
2010-01-05,627.1800,627.8400,621.5400,623.9900,312.9611,6003300,0.0000,1.0000
2010-01-06,625.8600,625.8600,606.3600,608.2600,305.0717,7949400,0.0000,1.0000
2010-01-07,609.4000,610.0000,592.6500,594.1000,297.9698,12815700,0.0000,1.0000
2010-01-08,592.0000,603.2500,589.1100,602.0200,301.9421,9439100,0.0000,1.0000
2010-01-11,604.4600,604.4600,594.0400,601.1100,301.4857,14411300,0.0000,1.0000
2010-01-12,598.0800,598.1600,588.0000,590.4800,296.1542,9696800,0.0000,1.0000
2010-01-13,576.4900,588.3800,573.9000,587.0900,294.4540,12980200,0.0000,1.0000
2010-01-14,583.9000,594.2000,582.8100,589.8500,295.8382,8471700,0.0000,1.0000
2010-01-15,591.5900,593.5600,578.0400,580.0000,290.8980,10858100,0.0000,1.0000
2010-01-19,581.4900,590.4200,576.2900,587.6200,294.7198,8624700,0.0000,1.0000
2010-01-20,585.9800,585.9800,575.2900,580.4100,291.1036,6494800,0.0000,1.0000
2010-01-21,583.4400,586.8185,572.2510,582.9800,292.3926,12602700,0.0000,1.0000
2010-01-22,564.5000,570.6000,534.8600,550.0100,275.8565,13587100,0.0000,1.0000
2010-01-25,546.5900,549.8775,535.5100,540.0000,270.8360,8830900,0.0000,1.0000
2010-01-26,537.9700,549.6000,536.2900,542.4200,272.0498,8702200,0.0000,1.0000
2010-01-27,541.2700,547.6500,535.3100,542.1000,271.8893,7920800,0.0000,1.0000
2010-01-28,544.4900,546.9999,530.6000,534.2900,267.9722,6451700,0.0000,1.0000
2010-01-29,538.4900,540.9900,525.6100,529.9440,265.7925,8272700,0.0000,1.0000
2010-02-01,534.6020,535.8100,530.3000,533.0200,267.3352,4497000,0.0000,1.0000
2010-02-02,534.9554,534.9600,527.6100,531.1200,266.3823,8184200,0.0000,1.0000
2010-02-03,528.6700,542.1000,528.2300,540.8200,271.2473,5992200,0.0000,1.0000
2010-02-04,537.0000,538.0000,525.5600,526.7780,264.2046,6748600,0.0000,1.0000
2010-02-05,528.4000,533.4985,522.4600,531.2900,266.4676,6305600,0.0000,1.0000
2010-02-08,532.5000,542.0000,531.5301,533.4700,267.5609,5383200,0.0000,1.0000
2010-02-09,539.5400,541.5300,535.0700,536.4400,269.0505,5633500,0.0000,1.0000
2010-02-10,534.0700,537.7900,527.6900,534.4450,268.0499,5343600,0.0000,1.0000
2010-02-11,532.2500,540.4900,529.5000,536.4000,269.0305,4815100,0.0000,1.0000
2010-02-12,532.9700,537.1500,530.5000,533.1200,267.3854,4554800,0.0000,1.0000
2010-02-16,537.1400,544.1300,534.3000,541.3000,271.4881,7301400,0.0000,1.0000
2010-02-17,542.0000,543.4000,537.6100,538.2070,269.9368,4055300,0.0000,1.0000
2010-02-18,537.5400,545.0100,536.1400,543.2200,272.4510,4669100,0.0000,1.0000
2010-02-19,541.0000,544.0300,539.7000,540.7630,271.2187,5101000,0.0000,1.0000
2010-02-22,547.3500,547.5000,541.0000,542.8000,272.2404,4284900,0.0000,1.0000
2010-02-23,543.0000,543.6300,532.2900,535.0700,268.3634,5739400,0.0000,1.0000
2010-02-24,534.3900,538.4400,530.5100,531.4700,266.5578,4648500,0.0000,1.0000
2010-02-25,527.1200,528.4899,520.0000,526.4300,264.0300,6611700,0.0000,1.0000
2010-02-26,527.4200,531.7500,523.4800,526.8000,264.2156,4094500,0.0000,1.0000
2010-03-01,529.2000,533.2900,527.7400,532.6900,267.1697,4471300,0.0000,1.0000
2010-03-02,535.4800,545.6600,535.0100,541.0600,271.3677,8704800,0.0000,1.0000
2010-03-03,542.3600,548.1200,539.2500,545.3200,273.5043,6172600,0.0000,1.0000
2010-03-04,546.5000,556.1300,546.2000,554.5900,278.1536,6361200,0.0000,1.0000
2010-03-05,561.3500,567.6700,559.9000,564.2100,282.9785,7816500,0.0000,1.0000
2010-03-08,564.7800,565.1800,561.0100,562.4800,282.1108,4768000,0.0000,1.0000
2010-03-09,559.8500,564.6600,556.5000,560.1900,280.9623,6346800,0.0000,1.0000
2010-03-10,563.7600,578.5000,562.2100,576.4500,289.1175,11298400,0.0000,1.0000
2010-03-11,574.2600,586.2100,574.2000,581.1400,291.4697,8458100,0.0000,1.0000
2010-03-12,588.1400,588.2750,579.1600,579.5400,290.6673,5501200,0.0000,1.0000
2010-03-15,566.6800,569.4500,556.0000,563.1800,282.4619,9298400,0.0000,1.0000
2010-03-16,561.8300,568.4200,560.7600,565.2000,283.4751,6856100,0.0000,1.0000
2010-03-17,568.3000,571.4499,564.2501,565.5600,283.6556,6636500,0.0000,1.0000
2010-03-18,564.7200,568.4400,562.9600,566.4000,284.0769,3550800,0.0000,1.0000
2010-03-19,566.2300,568.0000,557.2800,560.0000,280.8670,9578800,0.0000,1.0000
2010-03-22,556.1100,566.8500,554.2800,557.5000,279.6131,8001500,0.0000,1.0000
2010-03-23,557.0400,558.3120,542.0000,549.0000,275.3500,10991500,0.0000,1.0000
2010-03-24,545.5100,559.8495,539.7000,557.3300,279.5279,13117200,0.0000,1.0000
2010-03-25,560.4800,572.0000,558.6600,562.8800,282.3115,7853900,0.0000,1.0000
2010-03-26,565.2700,567.3900,560.0201,562.6900,282.2162,5387000,0.0000,1.0000
2010-03-29,563.0000,564.7200,560.5700,562.4500,282.0958,6202700,0.0000,1.0000
2010-03-30,562.8300,567.6300,560.2800,566.7100,284.2324,3951800,0.0000,1.0000
2010-03-31,565.0500,569.7400,562.8100,567.1200,284.4380,6055500,0.0000,1.0000
2010-04-01,571.3500,573.4500,565.5500,568.8000,285.2806,4201100,0.0000,1.0000
2010-04-05,570.9000,574.8800,569.0000,571.0100,286.3891,3799100,0.0000,1.0000
2010-04-06,569.4600,570.8900,565.4000,568.2200,284.9897,4116000,0.0000,1.0000
2010-04-07,567.3000,568.7500,561.8600,563.5400,282.6425,5156800,0.0000,1.0000
2010-04-08,563.3200,569.8515,560.0500,567.4900,284.6236,3891100,0.0000,1.0000
2010-04-09,568.0000,568.7700,564.0000,566.2200,283.9866,4109000,0.0000,1.0000
2010-04-12,567.3500,574.0000,566.2200,572.7300,287.2517,4700000,0.0000,1.0000
2010-04-13,572.5300,588.8800,571.1300,586.7700,294.2935,7816700,0.0000,1.0000
2010-04-14,590.0600,592.3400,584.0100,589.0000,295.4119,6798500,0.0000,1.0000
2010-04-15,592.1700,597.8400,588.2870,595.3000,298.5717,13510000,0.0000,1.0000
2010-04-16,563.0000,568.8100,549.6300,550.1450,275.9243,24446500,0.0000,1.0000
2010-04-19,548.7500,553.9900,545.0000,550.1000,275.9017,7780200,0.0000,1.0000
2010-04-20,554.1700,559.6565,551.0600,555.0400,278.3793,5948800,0.0000,1.0000
2010-04-21,556.4600,560.2500,552.1600,554.3000,278.0082,4778200,0.0000,1.0000
2010-04-22,552.0000,552.5000,543.3500,547.0600,274.3770,6554800,0.0000,1.0000
2010-04-23,547.2500,549.3200,542.2700,544.9900,273.3388,4174600,0.0000,1.0000
2010-04-26,544.9700,544.9900,529.2100,531.6400,266.6431,8728800,0.0000,1.0000
2010-04-27,528.9400,538.3300,527.2350,529.0600,265.3491,7681700,0.0000,1.0000
2010-04-28,532.1000,534.8300,521.0300,529.1900,265.4143,6805300,0.0000,1.0000
