,Real Lower Band,Real Middle Band,Real Upper Band
2010-01-04,29.2202,30.3333,31.4465
2010-01-05,29.2673,30.3871,31.5070
2010-01-06,29.3091,30.4248,31.5404
2010-01-07,29.3773,30.4563,31.5353
2010-01-08,29.5024,30.5082,31.5140
2010-01-11,29.5871,30.5349,31.4826
2010-01-12,29.6198,30.5444,31.4690
2010-01-13,29.6919,30.5682,31.4445
2010-01-14,29.7423,30.6087,31.4751
2010-01-15,29.8178,30.6487,31.4795
2010-01-19,29.8822,30.6963,31.5103
2010-01-20,30.0895,30.7432,31.3969
2010-01-21,30.0190,30.7265,31.4341
2010-01-22,29.6203,30.6522,31.6842
2010-01-25,29.4073,30.5808,31.7543
2010-01-26,29.2644,30.5132,31.7620
2010-01-27,29.1717,30.4499,31.7280
2010-01-28,29.0069,30.3541,31.7014
2010-01-29,28.6464,30.2013,31.7562
2010-02-01,28.3886,30.0799,31.7711
2010-02-02,28.1691,29.9837,31.7982
2010-02-03,28.0253,29.8732,31.7211
2010-02-04,27.7526,29.7246,31.6967
2010-02-05,27.5527,29.5937,31.6347
2010-02-08,27.3127,29.4636,31.6145
2010-02-09,27.1712,29.3374,31.5036
2010-02-10,27.0321,29.2288,31.4255
2010-02-11,26.9245,29.1360,31.3474
2010-02-12,26.8222,29.0207,31.2192
2010-02-16,26.8615,28.8964,30.9314
2010-02-17,26.9505,28.7883,30.6262
2010-02-18,27.1621,28.6869,30.2116
2010-02-19,27.3315,28.6004,29.8693
2010-02-22,27.4349,28.5395,29.6440
2010-02-23,27.4181,28.5095,29.6008
2010-02-24,27.4449,28.4766,29.5083
2010-02-25,27.5062,28.4338,29.3614
2010-02-26,27.6306,28.3861,29.1417
2010-03-01,27.6493,28.3795,29.1097
2010-03-02,27.6674,28.3928,29.1182
2010-03-03,27.6693,28.3952,29.1211
2010-03-04,27.6709,28.4033,29.1357
2010-03-05,27.6712,28.4013,29.1313
2010-03-08,27.7480,28.4389,29.1298
2010-03-09,27.7954,28.4760,29.1566
2010-03-10,27.9137,28.5355,29.1574
2010-03-11,27.9582,28.5913,29.2243
2010-03-12,28.0160,28.6522,29.2884
2010-03-15,28.0630,28.7079,29.3528
2010-03-16,28.1721,28.7765,29.3809
2010-03-17,28.1633,28.8375,29.5117
2010-03-18,28.1463,28.8860,29.6257
2010-03-19,28.1177,28.9156,29.7135
2010-03-22,28.1092,28.9551,29.8011
2010-03-23,28.0842,29.0099,29.9356
2010-03-24,28.1611,29.0727,29.9844
2010-03-25,28.1669,29.1385,30.1100
2010-03-26,28.2244,29.1889,30.1534
2010-03-29,28.2830,29.2327,30.1824
2010-03-30,28.2973,29.2685,30.2396
2010-03-31,28.4064,29.3079,30.2093
2010-04-01,28.5194,29.3412,30.1630
2010-04-05,28.6126,29.3717,30.1308
2010-04-06,28.7322,29.4065,30.0809
2010-04-07,28.8614,29.4408,30.0203
2010-04-08,28.9557,29.4942,30.0326
2010-04-09,28.9620,29.5594,30.1568
2010-04-12,28.9596,29.6137,30.2678
2010-04-13,28.9447,29.6699,30.3951
2010-04-14,28.8888,29.7427,30.5966
2010-04-15,28.8527,29.8142,30.7756
2010-04-16,28.8402,29.8637,30.8872
2010-04-19,28.8004,29.9317,31.0631
2010-04-20,28.7441,30.0160,31.2880
2010-04-21,28.7246,30.0985,31.4724
2010-04-22,28.6955,30.1704,31.6453
2010-04-23,28.7405,30.2328,31.7251
2010-04-26,28.7512,30.2852,31.8192
2010-04-27,28.8166,30.3416,31.8666
2010-04-28,28.8998,30.4045,31.9091
2010-04-29,28.9660,30.4632,31.9604
2010-04-30,29.1207,30.5226,31.9244
2010-05-03,29.3358,30.6035,31.8712
2010-05-04,29.5024,30.6445,31.7865
2010-05-05,29.6267,30.6697,31.7127
2010-05-06,29.5125,30.6521,31.7917
2010-05-07,29.0521,30.5707,32.0892
2010-05-10,28.8353,30.5040,32.1727
2010-05-11,28.6294,30.4354,32.2415
