,SMA
2010-01-04,30.3333
2010-01-05,30.3871
2010-01-06,30.4248
2010-01-07,30.4563
2010-01-08,30.5082
2010-01-11,30.5349
2010-01-12,30.5444
2010-01-13,30.5682
2010-01-14,30.6087
2010-01-15,30.6487
2010-01-19,30.6963
2010-01-20,30.7432
2010-01-21,30.7265
2010-01-22,30.6522
2010-01-25,30.5808
2010-01-26,30.5132
2010-01-27,30.4499
2010-01-28,30.3541
2010-01-29,30.2013
2010-02-01,30.0799
2010-02-02,29.9837
2010-02-03,29.8732
2010-02-04,29.7246
2010-02-05,29.5937
2010-02-08,29.4636
2010-02-09,29.3374
2010-02-10,29.2288
2010-02-11,29.1360
2010-02-12,29.0207
2010-02-16,28.8964
2010-02-17,28.7883
2010-02-18,28.6869
2010-02-19,28.6004
2010-02-22,28.5395
2010-02-23,28.5095
2010-02-24,28.4766
2010-02-25,28.4338
2010-02-26,28.3861
2010-03-01,28.3795
2010-03-02,28.3928
2010-03-03,28.3952
2010-03-04,28.4033
2010-03-05,28.4013
2010-03-08,28.4389
2010-03-09,28.4760
2010-03-10,28.5355
2010-03-11,28.5913
2010-03-12,28.6522
2010-03-15,28.7079
2010-03-16,28.7765
2010-03-17,28.8375
2010-03-18,28.8860
2010-03-19,28.9156
2010-03-22,28.9551
2010-03-23,29.0099
2010-03-24,29.0727
2010-03-25,29.1385
2010-03-26,29.1889
2010-03-29,29.2327
2010-03-30,29.2685
2010-03-31,29.3079
2010-04-01,29.3412
2010-04-05,29.3717
2010-04-06,29.4065
2010-04-07,29.4408
2010-04-08,29.4942
2010-04-09,29.5594
2010-04-12,29.6137
2010-04-13,29.6699
2010-04-14,29.7427
2010-04-15,29.8142
2010-04-16,29.8637
2010-04-19,29.9317
2010-04-20,30.0160
2010-04-21,30.0985
2010-04-22,30.1704
2010-04-23,30.2328
2010-04-26,30.2852
2010-04-27,30.3416
2010-04-28,30.4045
2010-04-29,30.4632
2010-04-30,30.5226
2010-05-03,30.6035
2010-05-04,30.6445
2010-05-05,30.6697
2010-05-06,30.6521
2010-05-07,30.5707
2010-05-10,30.5040
2010-05-11,30.4354
2010-05-12,30.3873
2010-05-13,30.3121
2010-05-14,30.2197
2010-05-17,30.1373
2010-05-18,30.0211
2010-05-19,29.8725
2010-05-20,29.6715
2010-05-21,29.4548
2010-05-24,29.2315
2010-05-25,28.9915
2010-05-26,28.7136
2010-05-27,28.4798
2010-05-28,28.2320
2010-06-01,28.0108
2010-06-02,27.8013
2010-06-03,27.6456
2010-06-04,27.4523
2010-06-07,27.2765
2010-06-08,27.1289
2010-06-09,26.9313
2010-06-10,26.7465
2010-06-11,26.5665
2010-06-14,26.3882
2010-06-15,26.2764
2010-06-16,26.1517
2010-06-17,26.0456
2010-06-18,25.9599
2010-06-21,25.9046
2010-06-22,25.8537
2010-06-23,25.8079
2010-06-24,25.7569
2010-06-25,25.7342
2010-06-28,25.6537
2010-06-29,25.5351
2010-06-30,25.3980
2010-07-01,25.2409
2010-07-02,25.0699
2010-07-06,24.9761
2010-07-07,24.9290
2010-07-08,24.8956
2010-07-09,24.8708
2010-07-12,24.8627
2010-07-13,24.8375
2010-07-14,24.8349
2010-07-15,24.7838
2010-07-16,24.7157
2010-07-19,24.6614
2010-07-20,24.6157
2010-07-21,24.5762
2010-07-22,24.5795
2010-07-23,24.6034
2010-07-26,24.6558
2010-07-27,24.7333
2010-07-28,24.8114
2010-07-29,24.9409
2010-07-30,25.0743
2010-08-02,25.2252
2010-08-03,25.3628
2010-08-04,25.4538
2010-08-05,25.5047
2010-08-06,25.5590
2010-08-09,25.6229
2010-08-10,25.6343
2010-08-11,25.6214
2010-08-12,25.5762
2010-08-13,25.5233
2010-08-16,25.5048
2010-08-17,25.4800
2010-08-18,25.4486
2010-08-19,25.4162
2010-08-20,25.3395
2010-08-23,25.2667
2010-08-24,25.1686
2010-08-25,25.0705
2010-08-26,24.9690
2010-08-27,24.8690
2010-08-30,24.7657
2010-08-31,24.6293
2010-09-01,24.5217
2010-09-02,24.4364
2010-09-03,24.3850
2010-09-07,24.3093
2010-09-08,24.2293
2010-09-09,24.1788
2010-09-10,24.1307
2010-09-13,24.1602
2010-09-14,24.1902
2010-09-15,24.2195
2010-09-16,24.2490
2010-09-17,24.2681
2010-09-20,24.3152
2010-09-21,24.3590
2010-09-22,24.3748
2010-09-23,24.3933
2010-09-24,24.4255
2010-09-27,24.4689
2010-09-28,24.5045
2010-09-29,24.5455
2010-09-30,24.5943
2010-10-01,24.6171
2010-10-04,24.6157
2010-10-05,24.6186
2010-10-06,24.6410
2010-10-07,24.6695
2010-10-08,24.6962
2010-10-11,24.7314
2010-10-12,24.7181
2010-10-13,24.7329
2010-10-14,24.7383
2010-10-15,24.7483
2010-10-18,24.7769
2010-10-19,24.7612
2010-10-20,24.7688
2010-10-21,24.8074
2010-10-22,24.8525
2010-10-25,24.8723
2010-10-26,24.9279
2010-10-27,24.9932
2010-10-28,25.0780
2010-10-29,25.1815
2010-11-01,25.3039
2010-11-02,25.4696
2010-11-03,25.5973
2010-11-04,25.7263
2010-11-05,25.8368
2010-11-08,25.9435
2010-11-09,26.0558
2010-11-10,26.1563
2010-11-11,26.2201
2010-11-12,26.2696
2010-11-15,26.3011
2010-11-16,26.3006
2010-11-17,26.3230
2010-11-18,26.3481
2010-11-19,26.3610
2010-11-22,26.3777
2010-11-23,26.3744
2010-11-24,26.3492
2010-11-26,26.3111
2010-11-29,26.2649
2010-11-30,26.1979
2010-12-01,26.1545
2010-12-02,26.1307
2010-12-03,26.1302
2010-12-06,26.1160
2010-12-07,26.1169
2010-12-08,26.1369
2010-12-09,26.1431
2010-12-10,26.1621
2010-12-13,26.1890
2010-12-14,26.2533
2010-12-15,26.3319
2010-12-16,26.4356
2010-12-17,26.5467
2010-12-20,26.6406
2010-12-21,26.7539
2010-12-22,26.8710
2010-12-23,27.0224
2010-12-27,27.1510
2010-12-28,27.2824
2010-12-29,27.4090
2010-12-30,27.5325
2010-12-31,27.6215
2011-01-03,27.6735
2011-01-04,27.7243
2011-01-05,27.7795
2011-01-06,27.8724
2011-01-07,27.9376
2011-01-10,27.9919
2011-01-11,28.0286
2011-01-12,28.0907
2011-01-13,28.1179
2011-01-14,28.1393
2011-01-18,28.1713
2011-01-19,28.1983
2011-01-20,28.2242
2011-01-21,28.2218
2011-01-24,28.2310
2011-01-25,28.2381
2011-01-26,28.2719
2011-01-27,28.3129
2011-01-28,28.3024
2011-01-31,28.2965
2011-02-01,28.3004
2011-02-02,28.2985
2011-02-03,28.2777
2011-02-04,28.2667
2011-02-07,28.2371
2011-02-08,28.2220
2011-02-09,28.2100
2011-02-10,28.1810
2011-02-11,28.1191
2011-02-14,28.0734
2011-02-15,28.0096
2011-02-16,27.9315
2011-02-17,27.8715
2011-02-18,27.8099
2011-02-22,27.7418
2011-02-23,27.6566
2011-02-24,27.5766
2011-02-25,27.4704
2011-02-28,27.3614
2011-03-01,27.2856
2011-03-02,27.2071
2011-03-03,27.1218
2011-03-04,27.0271
2011-03-07,26.9352
2011-03-08,26.8467
2011-03-09,26.7368
2011-03-10,26.6000
2011-03-11,26.4910
2011-03-14,26.4048
2011-03-15,26.3162
2011-03-16,26.2000
2011-03-17,26.0962
2011-03-18,25.9905
2011-03-21,25.9010
2011-03-22,25.8169
2011-03-23,25.7669
2011-03-24,25.7298
2011-03-25,25.6750
2011-03-28,25.6207
2011-03-29,25.5688
2011-03-30,25.5426
2011-03-31,25.5099
2011-04-01,25.4756
2011-04-04,25.4564
2011-04-05,25.4593
2011-04-06,25.4707
2011-04-07,25.4855
2011-04-08,25.5169
2011-04-11,25.5312
2011-04-12,25.5288
2011-04-13,25.5402
2011-04-14,25.5702
2011-04-15,25.5983
2011-04-18,25.6117
2011-04-19,25.6031
2011-04-20,25.6252
2011-04-21,25.6243
2011-04-25,25.6148
2011-04-26,25.6419
2011-04-27,25.6881
2011-04-28,25.7462
2011-04-29,25.7610
2011-05-02,25.7738
2011-05-03,25.7895
2011-05-04,25.8138
2011-05-05,25.8143
2011-05-06,25.8010
2011-05-09,25.7833
2011-05-10,25.7643
2011-05-11,25.7348
2011-05-12,25.7195
2011-05-13,25.6910
2011-05-16,25.6505
2011-05-17,25.6100
2011-05-18,25.5914
2011-05-19,25.5707
2011-05-20,25.5102
2011-05-23,25.4460
2011-05-24,25.3764
2011-05-25,25.2812
2011-05-26,25.1998
2011-05-27,25.1069
2011-05-31,25.0636
2011-06-01,25.0050
2011-06-02,24.9293
2011-06-03,24.8267
2011-06-06,24.7419
2011-06-07,24.6557
2011-06-08,24.5657
2011-06-09,24.4843
2011-06-10,24.4055
2011-06-13,24.3445
2011-06-14,24.3060
2011-06-15,24.2664
2011-06-16,24.2414
2011-06-17,24.2210
2011-06-20,24.2093
2011-06-21,24.2221
2011-06-22,24.2450
2011-06-23,24.2679
2011-06-24,24.2731
