,MACD,MACD_Hist,MACD_Signal
2010-01-04,0.4621,-0.0135,0.4757
2010-01-05,0.4491,-0.0213,0.4703
2010-01-06,0.4185,-0.0414,0.4600
2010-01-07,0.3645,-0.0764,0.4409
2010-01-08,0.3346,-0.0850,0.4196
2010-01-11,0.2762,-0.1147,0.3909
2010-01-12,0.2114,-0.1436,0.3550
2010-01-13,0.1805,-0.1396,0.3201
2010-01-14,0.2030,-0.0937,0.2967
2010-01-15,0.2102,-0.0692,0.2794
2010-01-19,0.2327,-0.0374,0.2701
2010-01-20,0.2066,-0.0508,0.2574
2010-01-21,0.1379,-0.0956,0.2335
2010-01-22,-0.0013,-0.1878,0.1865
2010-01-25,-0.0816,-0.2145,0.1329
2010-01-26,-0.1292,-0.2097,0.0805
2010-01-27,-0.1515,-0.1856,0.0341
2010-01-28,-0.2079,-0.1936,-0.0143
2010-01-29,-0.3279,-0.2509,-0.0770
2010-02-01,-0.3999,-0.2582,-0.1416
2010-02-02,-0.4477,-0.2448,-0.2028
2010-02-03,-0.4665,-0.2109,-0.2555
2010-02-04,-0.5389,-0.2267,-0.3122
2010-02-05,-0.5751,-0.2103,-0.3648
2010-02-08,-0.6209,-0.2049,-0.4160
2010-02-09,-0.6266,-0.1684,-0.4581
2010-02-10,-0.6255,-0.1339,-0.4916
2010-02-11,-0.6071,-0.0924,-0.5147
2010-02-12,-0.6009,-0.0690,-0.5319
2010-02-16,-0.5558,-0.0191,-0.5367
2010-02-17,-0.4949,0.0335,-0.5283
2010-02-18,-0.4113,0.0936,-0.5049
2010-02-19,-0.3570,0.1183,-0.4754
2010-02-22,-0.3136,0.1294,-0.4430
2010-02-23,-0.3080,0.1080,-0.4160
2010-02-24,-0.2761,0.1119,-0.3880
2010-02-25,-0.2503,0.1101,-0.3605
2010-02-26,-0.2217,0.1110,-0.3327
2010-03-01,-0.1689,0.1311,-0.3000
2010-03-02,-0.1702,0.1038,-0.2740
2010-03-03,-0.1693,0.0837,-0.2531
2010-03-04,-0.1531,0.0800,-0.2331
2010-03-05,-0.1421,0.0728,-0.2149
2010-03-08,-0.1284,0.0692,-0.1976
